"DateTime","Players","Average Players","Flags"
"2022-12-17 00:00:00",218700,65289,
"2022-12-18 00:00:00",222878,62081,
"2022-12-19 00:00:00",224134,62491,
"2022-12-20 00:00:00",247866,70070,
"2022-12-21 00:00:00",261340,72878,
"2022-12-22 00:00:00",277235,78165,
"2022-12-23 00:00:00",298271,84770,
"2022-12-24 00:00:00",306382,89794,
"2022-12-25 00:00:00",325583,91871,
"2022-12-26 00:00:00",349509,93366,
"2022-12-27 00:00:00",366159,97783,
"2022-12-28 00:00:00",369566,95847,
"2022-12-29 00:00:00",401390,107738,
"2022-12-30 00:00:00",416328,113955,
"2022-12-31 00:00:00",334327,104206,
"2023-01-01 00:00:00",446103,125938,
"2023-01-02 00:00:00",475442,108625,
"2023-01-03 00:00:00",453806,128323,
"2023-01-04 00:00:00",489669,138082,
"2023-01-05 00:00:00",563677,154832,
"2023-01-06 00:00:00",506374,155349,
"2023-01-07 00:00:00",605694,178726,
"2023-01-08 00:00:00",640324,168967,
"2023-01-09 00:00:00",618372,124909,
"2023-01-10 00:00:00",7906,4850,
"2023-01-11 00:00:00",32497,4796,
"2023-01-12 00:00:00",702845,203518,
"2023-01-13 00:00:00",603677,173328,
"2023-01-14 00:00:00",589519,174908,
"2023-01-15 00:00:00",629151,177135,
"2023-01-16 00:00:00",593315,162976,
"2023-01-17 00:00:00",564144,153238,
"2023-01-18 00:00:00",493123,138297,
"2023-01-19 00:00:00",467664,129216,
"2023-01-20 00:00:00",422918,115511,
"2023-01-21 00:00:00",262522,81358,
"2023-01-22 00:00:00",322200,95315,
"2023-01-23 00:00:00",300363,92293,
"2023-01-24 00:00:00",300336,93796,
"2023-01-25 00:00:00",297097,92079,
"2023-01-26 00:00:00",305190,93037,
"2023-01-27 00:00:00",322257,95147,
"2023-01-28 00:00:00",349595,99859,
"2023-01-29 00:00:00",359977,102275,
"2023-01-30 00:00:00",361309,101871,
"2023-01-31 00:00:00",362268,100439,
"2023-02-01 00:00:00",356141,97875,
"2023-02-02 00:00:00",356553,96034,
"2023-02-03 00:00:00",347506,97009,
"2023-02-04 00:00:00",342565,99233,
"2023-02-05 00:00:00",325639,89788,
"2023-02-06 00:00:00",326433,84454,
"2023-02-07 00:00:00",314761,81747,
"2023-02-08 00:00:00",340814,95750,
"2023-02-09 00:00:00",330783,94764,
"2023-02-10 00:00:00",310234,89371,
"2023-02-11 00:00:00",305661,90991,
"2023-02-12 00:00:00",314911,86716,
"2023-02-13 00:00:00",297179,76747,
"2023-02-14 00:00:00",245759,65980,
"2023-02-15 00:00:00",260221,67079,
"2023-02-16 00:00:00",240216,61193,
"2023-02-17 00:00:00",239454,64464,
"2023-02-18 00:00:00",251079,71000,
"2023-02-19 00:00:00",250739,66287,
"2023-02-20 00:00:00",237295,56188,
"2023-02-21 00:00:00",225299,53993,
"2023-02-22 00:00:00",223577,54815,
"2023-02-23 00:00:00",215394,52208,
"2023-02-24 00:00:00",215561,55420,
"2023-02-25 00:00:00",221123,61693,
"2023-02-26 00:00:00",210677,55452,
"2023-02-27 00:00:00",192187,44002,
"2023-02-28 00:00:00",185225,43450,
"2023-03-01 00:00:00",178878,41579,
"2023-03-02 00:00:00",174741,41731,
"2023-03-03 00:00:00",192630,48028,
"2023-03-04 00:00:00",188922,52017,
"2023-03-05 00:00:00",174228,46547,
"2023-03-06 00:00:00",153972,35994,
"2023-03-07 00:00:00",148775,35084,
"2023-03-08 00:00:00",145240,35635,
"2023-03-09 00:00:00",140682,33710,
"2023-03-10 00:00:00",156091,39322,
"2023-03-11 00:00:00",165381,45960,
"2023-03-12 00:00:00",157694,41921,
"2023-03-13 00:00:00",137132,31938,
"2023-03-14 00:00:00",132672,31114,
"2023-03-15 00:00:00",129612,31320,
"2023-03-16 00:00:00",127615,30641,
"2023-03-17 00:00:00",148024,37294,
"2023-03-18 00:00:00",147394,41522,
"2023-03-19 00:00:00",133997,36587,
"2023-03-20 00:00:00",120492,28307,
"2023-03-21 00:00:00",115470,27925,
"2023-03-22 00:00:00",119025,29120,
"2023-03-23 00:00:00",112291,27243,
"2023-03-24 00:00:00",121867,31356,
"2023-03-25 00:00:00",125089,35581,
"2023-03-26 00:00:00",111579,30567,
"2023-03-27 00:00:00",101423,23977,
"2023-03-28 00:00:00",97086,23567,
"2023-03-29 00:00:00",94875,23480,
"2023-03-30 00:00:00",91976,22878,
"2023-03-31 00:00:00",105712,27138,
"2023-04-01 00:00:00",103832,30547,
"2023-04-02 00:00:00",98643,27933,
"2023-04-03 00:00:00",91822,23186,
"2023-04-04 00:00:00",111260,28458,
"2023-04-05 00:00:00",107653,32794,
"2023-04-06 00:00:00",97383,25842,
"2023-04-07 00:00:00",105906,28917,
"2023-04-08 00:00:00",103916,30895,
"2023-04-09 00:00:00",93009,27298,
"2023-04-10 00:00:00",84146,21804,
"2023-04-11 00:00:00",82465,21167,
"2023-04-12 00:00:00",78870,20627,
"2023-04-13 00:00:00",79056,20670,
"2023-04-14 00:00:00",87331,23858,
"2023-04-15 00:00:00",80787,24502,
