"DateTime","Players","Players Trend"
"2023-04-23 02:20:00",6291,19133.818018353162
"2023-04-23 02:30:00",6582,19126.48769221229
"2023-04-23 02:40:00",6823,19118.647789902985
"2023-04-23 02:50:00",7117,19110.380005098094
"2023-04-23 03:00:00",7310,19101.524987599194
"2023-04-23 03:10:00",7553,19092.60235821758
"2023-04-23 03:20:00",7776,19082.652130180762
"2023-04-23 03:30:00",7906,19071.899966931203
"2023-04-23 03:40:00",8066,19060.68303571427
"2023-04-23 03:50:00",8319,19049.23870838844
"2023-04-23 04:00:00",8447,19037.247519841258
"2023-04-23 04:10:00",8820,19025.524763695976
"2023-04-23 04:20:00",9199,19013.057484567893
"2023-04-23 04:30:00",9626,19000.266730737425
"2023-04-23 04:40:00",10081,18987.13164131393
"2023-04-23 04:50:00",10472,18972.931626846334
"2023-04-23 05:00:00",10726,18957.69994212962
"2023-04-23 05:10:00",10920,18941.63476906966
"2023-04-23 05:20:00",11229,18925.120976631384
"2023-04-23 05:30:00",11464,18907.679470486102
"2023-04-23 05:40:00",11612,18889.055107749107
"2023-04-23 05:50:00",11925,18869.742511298493
"2023-04-23 06:00:00",12268,18849.263847552902
"2023-04-23 06:10:00",12530,18827.376839451048
"2023-04-23 06:20:00",12789,18803.684861386675
"2023-04-23 06:30:00",13113,18779.22119915674
"2023-04-23 06:40:00",13443,18753.753858024684
"2023-04-23 06:50:00",13753,18727.627170138883
"2023-04-23 07:00:00",14113,18700.69996279761
"2023-04-23 07:10:00",14449,18672.626295193997
"2023-04-23 07:20:00",14778,18643.6872244268
"2023-04-23 07:30:00",15017,18613.938781415338
"2023-04-23 07:40:00",15321,18583.79982363315
"2023-04-23 07:50:00",15566,18553.348138503083
"2023-04-23 08:00:00",15910,18523.51579034391
"2023-04-23 08:10:00",16326,18494.073708939588
"2023-04-23 08:20:00",16636,18464.429446373455
"2023-04-23 08:30:00",16871,18435.825675843254
"2023-04-23 08:40:00",17022,18407.395667989418
"2023-04-23 08:50:00",17135,18379.810508983686
"2023-04-23 09:00:00",17237,18352.732204861113
"2023-04-23 09:10:00",17232,18325.36961943342
"2023-04-23 09:20:00",17309,18299.466269841265
"2023-04-23 09:30:00",17183,18273.48217385912
"2023-04-23 09:40:00",17177,18249.2889247134
"2023-04-23 09:50:00",17041,18225.482514880947
"2023-04-23 10:00:00",17108,18203.539682539675
"2023-04-23 10:10:00",17301,18182.627314814807
"2023-04-23 10:20:00",17439,18161.34171075837
"2023-04-23 10:30:00",17819,18141.291635664675
"2023-04-23 10:40:00",18276,18121.975005511453
"2023-04-23 10:50:00",18771,18102.941836833106
"2023-04-23 11:00:00",19655,18084.615327380943
"2023-04-23 11:10:00",20858,18066.248064098316
"2023-04-23 11:20:00",22319,18047.729745370365
"2023-04-23 11:30:00",24018,18027.847346230155
"2023-04-23 11:40:00",26038,18006.699955908283
"2023-04-23 11:50:00",28307,17984.635788690473
"2023-04-23 12:00:00",30803,17960.755621693115
"2023-04-23 12:10:00",33942,17935.33715691137
"2023-04-23 12:20:00",37088,17908.431719852288
"2023-04-23 12:30:00",40334,17880.98473668981
"2023-04-23 12:40:00",43756,17852.672260802465
"2023-04-23 12:50:00",47085,17822.141303598983
"2023-04-23 13:00:00",50622,17791.33017113095
"2023-04-23 13:10:00",54343,17759.922364142414
"2023-04-23 13:20:00",57623,17726.75699955908
"2023-04-23 13:30:00",60323,17692.022528108464
"2023-04-23 13:40:00",62813,17656.055700231478
"2023-04-23 13:50:00",64456,17619.65906773589
"2023-04-23 14:00:00",65709,17582.870081018522
"2023-04-23 14:10:00",66125,17543.084473517425
"2023-04-23 14:20:00",66212,17502.7313919202
"2023-04-23 14:30:00",65740,17461.609375000004
"2023-04-23 14:40:00",64058,17418.998567019407
"2023-04-23 14:50:00",61964,17377.5225935571
"2023-04-23 15:00:00",58595,17335.726810515876
"2023-04-23 15:10:00",53771,17296.415033895504
"2023-04-23 15:20:00",49642,17259.600625551146
"2023-04-23 15:30:00",45241,17223.673797123014
"2023-04-23 15:40:00",40760,17191.235670194008
"2023-04-23 15:50:00",36812,17161.865227485672
"2023-04-23 16:00:00",33164,17136.34027777778
"2023-04-23 16:10:00",29207,17112.439046654545
"2023-04-23 16:20:00",26304,17090.772824349653
"2023-04-23 16:30:00",24029,17069.70529513889
"2023-04-23 16:40:00",21996,17049.795331790127
"2023-04-23 16:50:00",20501,17031.520003169095
"2023-04-23 17:00:00",19182,17012.724268353177
"2023-04-23 17:10:00",17829,16994.85450424383
"2023-04-23 17:20:00",16876,16979.02678571429
"2023-04-23 17:30:00",15971,16963.33268229167
"2023-04-23 17:40:00",15063,16948.942825451944
"2023-04-23 17:50:00",14316,16936.233923748903
"2023-04-23 18:00:00",13709,16924.598999669317
"2023-04-23 18:10:00",13031,16913.33081872796
"2023-04-23 18:20:00",12414,16902.766734182103
"2023-04-23 18:30:00",11945,16893.27835648149
"2023-04-23 18:40:00",11372,16883.735532407416
"2023-04-23 18:50:00",10949,16875.710362240967
"2023-04-23 19:00:00",10620,16868.255270337308
"2023-04-23 19:10:00",10231,16860.58400159833
"2023-04-23 19:20:00",9835,16853.022789903003
"2023-04-23 19:30:00",9531,16845.661168981485
"2023-04-23 19:40:00",9095,16838.423108190036
"2023-04-23 19:50:00",8827,16831.95265308091
